query	701	U.S. oil industry history
query	702	Pearl farming
query	703	U.S. against International Criminal Court
query	704	Green party political views
query	705	Iraq foreign debt reduction
query	706	Controlling type II diabetes
query	707	Aspirin cancer prevention
query	708	Decorative slate sources
query	709	Horse racing jockey weight
query	710	Prostate cancer treatments
query	711	Train station security measures
query	712	Pyramid scheme
query	713	Chesapeake Bay Maryland clean
query	714	License restrictions older drivers
query	715	Schizophrenia drugs
query	716	Spammer arrest sue
query	717	Gifted talented student programs
query	718	Controlling acid rain
query	719	Cruise ship damage sea life
query	720	Federal welfare reform
query	721	Census data applications
query	722	Iran terrorism
query	723	Executive privilege
query	724	Iran Contra
query	725	Low white blood cell count
query	726	Hubble telescope repairs
query	727	Church arson
query	728	whales save endangered
query	729	Whistle blower department of defense
query	730	Gastric bypass complications
query	731	Kurds history
query	732	U.S. cheese production
query	733	Airline overbooking
query	734	Recycling successes
query	735	Afghan women condition
query	736	location BSE infections
query	737	Enron California energy crisis
query	738	Anthrax hoaxes
query	739	Habitat for Humanity
query	740	regulate assisted living Maryland
query	741	Artificial Intelligence
query	742	hedge funds fraud protection
query	743	Freighter ship registration
query	744	Counterfeit ID punishments
query	745	Doomsday cults
query	746	Outsource job India
query	747	Library computer oversight
query	748	Nuclear reactor types
query	749	Puerto Rico state
query	750	John Edwards womens issues
query	751	Scrabble Players
query	752	Dam removal
query	753	bullying prevention programs
query	754	domestic adoption laws
query	755	Scottish Highland Games
query	756	Volcanic Activity
query	757	Murals
query	758	Embryonic stem cells
query	759	civil war battle reenactments
query	760	american muslim mosques schools
query	761	Problems of Hmong Immigrants
query	762	History of Physicians in America
query	763	Hunting deaths
query	764	Increase mass transit use
query	765	ephedra ma huang deaths
query	766	diamond smuggling
query	767	Pharmacist License requirements
query	768	Women in state legislatures
query	769	Kroll Associates Employees
query	770	Kyrgyzstan-United States relations
query	771	deformed leopard frogs
query	772	flag display rules
query	773	Pennsylvania slot machine gambling
query	774	Causes of Homelessness
query	775	Commercial candy makers
query	776	Magnet schools success
query	777	hybrid alternative fuel cars
query	778	golden ratio
query	779	Javelinas range and description
query	780	Arable land
query	781	Squirrel control and protections
query	782	Orange varieties seasons
query	783	school mercury poisoning
query	784	mersenne primes
query	785	Ivory-billed woodpecker
query	786	Yew trees
query	787	Sunflower Cultivation
query	788	Reverse mortgages
query	789	abandoned mine reclamation
query	790	women's rights in Saudi Arabia
query	791	Gullah geechee language culture
query	792	Social Security means test
query	793	Bagpipe Bands
query	794	pet therapy
query	795	notable cocker spaniels
query	796	Blue Grass Music Festival history
query	797	reintroduction of gray wolves
query	798	Massachusetts textile mills
query	799	Animals in Alzheimer's research
query	800	Ovarian Cancer Treatment
query	801	Kudzu Pueraria lobata
query	802	Volcano eruptions global temperature
query	803	May Day
query	804	ban on human cloning
query	805	Identity Theft Passport
query	806	Doctors Without Borders
query	807	Sugar tariff-rate quotas
query	808	North Korean Counterfeiting
query	809	wetlands wastewater treatment
query	810	timeshare resales
query	811	handwriting recognition
query	812	total knee replacement surgery
query	813	Atlantic Intracoastal Waterway
query	814	Johnstown flood
query	815	Coast Guard rescues
query	816	USAID assistance to Galapagos
query	817	sports stadium naming rights
query	818	Chaco Culture National Park
query	819	1890 Census
query	820	imported fire ants
query	821	Internet work-at-home scams
query	822	Custer's Last Stand
query	823	Continuing care retirement communities
query	824	Civil Air Patrol
query	825	National Guard Involvement in Iraq
query	826	Florida Seminole Indians
query	827	Hidden Markov Modeling HMM
query	828	secret shoppers
query	829	Spanish Civil War support
query	830	model railroads
query	831	Dulles Airport security
query	832	labor union activity
query	833	Iceland government
query	834	Global positioning system earthquakes
query	835	Big Dig pork
query	836	illegal immigrant wages
query	837	Eskimo History
query	838	urban suburban coyotes
query	839	textile dyeing techniques
query	840	Geysers
query	841	camel North America
query	842	David McCullough
query	843	Pol Pot
query	844	segmental duplications
query	845	New Jersey tomato
query	846	heredity and obesity
query	847	Portugal World War II
query	848	radio station call letters
query	849	Scalable Vector Graphics
query	850	Mississippi River flood
